| 27.05.2014_00:55 |[LOG] - Started scrap for date: 26.05.2014_09:51 - | on host: ~all~ |
| 27.05.2014_00:55 |[LOG] - Scraping content from - emag.ro - | on host: emag.ro |
| 27.05.2014_00:55 |[LOG] - Building pagination for host: emag.ro - | on host: emag.ro |
| 27.05.2014_00:55 |[LOG] - Page number complete - | on host: emag.ro |
| 27.05.2014_00:55 |[LOG] - scraping from url: http://www.emag.ro/televizoare - | on host: emag.ro |
| 27.05.2014_00:55 |[LOG] - scraping from url: http://www.emag.ro/televizoare/p2/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/televizoare/p3/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/televizoare/p4/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/televizoare/p5/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/aparate-foto-compacte - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/aparate-foto-compacte/p2/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/aparate-foto-compacte/p3/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/tablete - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/tablete/p2/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/tablete/p3/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/tablete/p4/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/tablete/p5/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/tablete/p6/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/placi_video - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/placi_video/p2/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/placi_video/p3/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/placi_video/p4/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/placi_video/p5/c - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/solid-state_drive_ssd_ - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/camere_video - | on host: emag.ro |
| 27.05.2014_00:56 |[LOG] - scraping from url: http://www.emag.ro/masini-spalat-rufe - | on host: emag.ro |
